CNES;Latitude_Nova;Longitude_Nova;Endereco_Google;Qualidade_Busca
29602;-22.4236067;-47.5538599;R. Dois - Cidade Jardim, Rio Claro - SP, Brazil;GEOMETRIC_CENTER
30007;-8.0603116;-34.8984321;R. Epaminondas de Melo, 205 - Derby, Recife - PE, 52010-050, Brazil;ROOFTOP
30074;-22.4135729;-47.5695057;Av. Três, 1200 - Centro, Rio Claro - SP, 13500-250, Brazil;ROOFTOP
30120;-22.9047492;-43.1749691;R. S. José, 20 1801 - Centro, Rio de Janeiro - RJ, 20010-020, Brazil;ROOFTOP
30147;-22.8390902;-43.28180529999999;R. Nicarágua, 630 - sala 323 - Penha, Rio de Janeiro - RJ, 21020-050, Brazil;ROOFTOP
30260;-22.9840622;-43.2071449;R. Visc. de Pirajá, 414 - Ipanema, Rio de Janeiro - RJ, 22061-010, Brazil;ROOFTOP
30325;-22.924712;-43.2239909;804 - Edifício Tijuca Trade Center - Rua Conde de Bonfim, 99 - Tijuca, Rio de Janeiro - RJ, 20520-050, Brazil;ROOFTOP
30589;-23.5926658;-46.6422378;R. Botucatu, 146 - Vila Clementino, São Paulo - SP, 04023-060, Brazil;ROOFTOP
30619;-23.4989728;-46.6249696;R. Conselheiro Saraiva, 203 - Santana, São Paulo - SP, 02037-020, Brazil;ROOFTOP
30899;-23.5384494;-46.7622726;Torre Mykonos - Av. Franz Voegeli, 303 - Sl. 1910/1911 - Continental, Osasco - SP, 06020-199, Brazil;ROOFTOP
31151;-22.9711267;-43.1871458;R. Santa Clara, 70 - Copacabana, Rio de Janeiro - RJ, 22041-012, Brazil;ROOFTOP
31534;-27.6984014;-48.8186033;Av Cel Antonio Lehmkuhl, 579 - Centro, Águas Mornas - SC, 88150-000, Brazil;ROOFTOP
31631;-7.595367799999999;-35.1557706;Sítio Siqueira, Condado - PE, 55940-000, Brazil;GEOMETRIC_CENTER
32867;-7.1202489;-34.8675123;Av. Juarez Távora, 306 - Sala 111 - Torre, João Pessoa - PB, 58040-020, Brazil;ROOFTOP
33006;-12.8199366;-42.7310948;R. Macaúbas, 232 - Boquira, BA, 46530-000, Brazil;RANGE_INTERPOLATED
33308;-22.8649274;-43.2549058;Rua Cardoso de Morais, 61 - Sala 218 - Bonsucesso, Rio de Janeiro - RJ, 21032-000, Brazil;ROOFTOP
33316;-22.9830726;-43.209268;Rua Garcia d'Avila, 135 - Ipanema, Rio de Janeiro - RJ, 22421-010, Brazil;ROOFTOP
33464;-22.9056853;-43.17444039999999;Av. Erasmo Braga, 255 - Centro, Rio de Janeiro - RJ, 20020-000, Brazil;ROOFTOP
33545;-22.9234478;-43.2311326;Rua Conde de Bonfim, 299 - Tijuca, Rio de Janeiro - RJ, 20530-002, Brazil;RANGE_INTERPOLATED
33561;-20.420923;-49.9732541;R. Alagoas, 3546 - Patrimonio Velho, Votuporanga - SP, 15505-169, Brazil;ROOFTOP
33979;-22.9956486;-44.3041753;R. Benedito Pereira Rocha, 461 - Parque das Palmeiras, Angra dos Reis - RJ, 23906-250, Brazil;ROOFTOP
33987;-23.0076965;-44.3183493;R. da Conceição, 220 - Centro, Angra dos Reis - RJ, 23900-437, Brazil;ROOFTOP
33995;-23.0075338;-44.31821009999999;R. Raul Pompéia, 75 - Centro, Angra dos Reis - RJ, 23900-090, Brazil;ROOFTOP
34010;-9.6704021;-35.7173048;Condomínio do Edifício Comercial Pajucenter - R. Dr. Antônio Pedro de Mendonça, 335 - Pajuçara, Maceió - AL, 57030-091, Brazil;ROOFTOP
34339;-23.0012076;-44.3060965;R. Alm. Machado Portela, 85 - Balneário, Angra dos Reis - RJ, 23906-190, Brazil;ROOFTOP
34665;-27.5691487;-48.6082415;Av. Leoberto Leal, 1006 - Barreiros, São José - SC, 88110-001, Brazil;ROOFTOP
34703;-23.5538251;-46.6618542;Av. Angélica, 2491 - 9 Andar - Higienópolis, São Paulo - SP, 01227-200, Brazil;ROOFTOP
34770;-23.5739764;-46.6462145;R. Sampaio Viana, 253 - 6º andar - Jardins, São Paulo - SP, 04004-000, Brazil;ROOFTOP
34878;-23.5971569;-46.6834772;R. Alvorada, 1289 - Vila Olímpia, São Paulo - SP, 04550-070, Brazil;ROOFTOP
34908;-23.6191079;-46.5107406;R. Antônio Sarzedas, 23 - Jardim Elba, São Paulo - SP, 03979-070, Brazil;ROOFTOP
34916;-23.5729711;-46.6452334;R. Cubatão, 86 - Vila Mariana, São Paulo - SP, 04013-000, Brazil;ROOFTOP
35521;-5.5142903;-35.2666401;R. Santa Fé, Maxaranguape - RN, 59580-000, Brazil;GEOMETRIC_CENTER
35637;-28.6786997;-49.3668617;R. Princesa Isabel, 40 - sl 802 - Centro, Criciúma - SC, 88801-130, Brazil;ROOFTOP
36021;-22.9581744;-43.1990036;R. Macedo Sobrinho, 8 - Humaitá, Rio de Janeiro - RJ, 22271-080, Brazil;ROOFTOP
36137;-22.9061236;-43.1122053;R. Ator Paulo Gustavo, 160 - Icaraí, Niterói - RJ, 24230-062, Brazil;ROOFTOP
36145;-22.8936128;-43.12304959999999;Condomínio do Edifício Vassal - Av. Ernani do Amaral Peixoto, 60 - Centro, Niterói - RJ, 24020-074, Brazil;ROOFTOP
36900;-22.2121298;-54.81391559999999;Av. Presidente Vargas, 1695 - Vila Progresso, Dourados - MS, 79825-090, Brazil;ROOFTOP
37338;-18.9770386;-49.4642534;R. Dezoito, 1508 - Centro, Ituiutaba - MG, 38300-072, Brazil;ROOFTOP
37559;-22.9551149;-43.1930904;R. Real Grandeza, 182 - Botafogo, Rio de Janeiro - RJ, 22281-036, Brazil;ROOFTOP
37567;-22.9845494;-43.1953346;R. Visc. de Pirajá, 4 - Ipanema, Rio de Janeiro - RJ, 22410-000, Brazil;ROOFTOP
37575;-22.9841907;-43.2059515;R. Visc. de Pirajá, 351 - Ipanema, Rio de Janeiro - RJ, 22410-003, Brazil;ROOFTOP
