CNES;Motivo_Erro
134090;Fora do Brasil ou no mar
135054;Caiu em cidade errada. Esperado: IBGE 430535
135283;Caiu em cidade errada. Esperado: IBGE 530010
136026;Caiu em cidade errada. Esperado: IBGE 431180
136557;Fora do Brasil ou no mar
136719;Fora do Brasil ou no mar
136980;Caiu em cidade errada. Esperado: IBGE 313240
137138;Fora do Brasil ou no mar
145157;Caiu em cidade errada. Esperado: IBGE 355030
145661;Caiu em cidade errada. Esperado: IBGE 355280
145696;Fora do Brasil ou no mar
145920;Caiu em cidade errada. Esperado: IBGE 430700
146242;Caiu em cidade errada. Esperado: IBGE 315780
147702;Caiu em cidade errada. Esperado: IBGE 510025
148113;Fora do Brasil ou no mar
148237;Caiu em cidade errada. Esperado: IBGE 330455
148393;Caiu em cidade errada. Esperado: IBGE 330455
148407;Caiu em cidade errada. Esperado: IBGE 330455
148423;Caiu em cidade errada. Esperado: IBGE 330455
148512;Fora do Brasil ou no mar
148547;Caiu em cidade errada. Esperado: IBGE 330490
148636;Caiu em cidade errada. Esperado: IBGE 500320
148776;Caiu em cidade errada. Esperado: IBGE 311060
148784;Caiu em cidade errada. Esperado: IBGE 311060
149705;Caiu em cidade errada. Esperado: IBGE 330220
149993;Caiu em cidade errada. Esperado: IBGE 354850
150185;Fora do Brasil ou no mar
150215;Fora do Brasil ou no mar
150347;Fora do Brasil ou no mar
150401;Fora do Brasil ou no mar
150428;Fora do Brasil ou no mar
150479;Fora do Brasil ou no mar
150827;Caiu em cidade errada. Esperado: IBGE 261110
150959;Caiu em cidade errada. Esperado: IBGE 130290
151491;Fora do Brasil ou no mar
151645;Fora do Brasil ou no mar
151882;Caiu em cidade errada. Esperado: IBGE 355220
152374;Caiu em cidade errada. Esperado: IBGE 354280
152706;Caiu em cidade errada. Esperado: IBGE 520540
152773;Caiu em cidade errada. Esperado: IBGE 355410
153214;Fora do Brasil ou no mar
153540;Fora do Brasil ou no mar
153559;Fora do Brasil ou no mar
153893;Caiu em cidade errada. Esperado: IBGE 355030
154105;Fora do Brasil ou no mar
154113;Caiu em cidade errada. Esperado: IBGE 330455
154164;Fora do Brasil ou no mar
154245;Fora do Brasil ou no mar
154253;Fora do Brasil ou no mar
